Id,Label,Description,Section,Cardinality,Terms,Datatype,Pattern,Unit,Enumeration,MissingValueCodes,Notes,Provenance,SeeAlso
nih_cancer_active_treatment,Cancer (including leukemia or lymphoma) undergoing active treatment?,"The `nih_cancer_active_treatment` variable records responses to the prompt ""Cancer (including leukemia or lymphoma) undergoing active treatment?"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_cancer_active_treatment` data element is the result of the harmonization of other RADx program data elements: `cancer` (RADx-Tech)
",Medical History,single,"MONDO:0004992
NCIT:C9305
NCIT:C19700",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_cancer_past_yr,Cancer diagnosis and/or treatment within the past 12 months,"The `nih_cancer_past_yr` variable records responses to the prompt ""Cancer diagnosis and/or treatment within the past 12 months"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_cancer_past_yr` data element is the result of the harmonization of other RADx program data elements: `cc_cancer` (RADx-UP)
",Medical History,single,MONDO:0004992,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_cardiovascular_disease,Cardiovascular disease,"The `nih_cardiovascular_disease` variable records responses to the prompt, or a congruently meaning prompt, ""Cardiovascular disease"".  Equivalent prompts are: 

- ""Cardiovascular disease (CVD or heart disease)"" (RADx-UP)
- ""Cardiovascular disease"" (RADx-rad)
- ""Cardiovascular disease"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_cardiovascular_disease` data element is the result of the harmonization of other RADx program data elements: `cc_cvd` (RADx-UP); `cardiovascular_disease` (RADx-rad); `dht_cardiovascular_disease` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0004995,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_chronic_kidney_disease,Chronic kidney disease,"The `nih_chronic_kidney_disease` variable records responses to the prompt, or a congruently meaning prompt, ""Chronic kidney disease"".  Equivalent prompts are: 

- ""Chronic kidney disease (CKD)"" (RADx-UP)
- ""Chronic kidney disease"" (RADx-rad)
- ""Chronic kidney disease"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_chronic_kidney_disease` data element is the result of the harmonization of other RADx program data elements: `cc_chronickd` (RADx-UP); `chronic_kidney_disease` (RADx-rad); `dht_chronic_kidney_disease` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005300,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_chronic_kidney_disease_treatment,Chronic kidney disease treatment,"The `nih_chronic_kidney_disease_treatment` variable records responses to the prompt ""Chronic kidney disease treatment"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_chronic_kidney_disease_treatment` data element is the result of the harmonization of other RADx program data elements: `ckd` (RADx-Tech)
",Medical History,single,MONDO:0005300,integer,,,"""0""=[No] |
""1""=[Yes, But Not On Dialysis] |
""2""=[Yes And On Dialysis] |
""3""=[Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal] |
""77""=[Don't Know]",,,,
nih_chronic_lung_disease,Chronic lung disease,"The `nih_chronic_lung_disease` variable records responses to the prompt, or a congruently meaning prompt, ""Chronic lung disease"".  Equivalent prompts are: 

- ""Chronic lung disease"" (RADx-rad)
- ""Chronic lung disease"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_chronic_lung_disease` data element is the result of the harmonization of other RADx program data elements: `chronic_lung_disease` (RADx-rad); `dht_chronic_lung_disease` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005275,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_diabetes,Diabetes,"The `nih_diabetes` variable records responses to the prompt, or a congruently meaning prompt, ""Diabetes"".  Equivalent prompts are: 

- ""Diabetes"" (RADx-UP)
- ""Diabetes"" (RADx-rad)
- ""Diabetes? Do not include pre-diabetes."" (RADx-Tech)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_diabetes` data element is the result of the harmonization of other RADx program data elements: `cc_diabetes` (RADx-UP); `diabetes` (RADx-rad); `diabetes` (RADx-Tech); `dht_diabetes` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005015,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_hypertension,Hypertension,"The `nih_hypertension` variable records responses to the prompt, or a congruently meaning prompt, ""Hypertension"".  Equivalent prompts are: 

- ""Hypertension (HTN, high blood pressure)"" (RADx-UP)
- ""Hypertension"" (RADx-rad)
- ""High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?"" (RADx-Tech)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_hypertension` data element is the result of the harmonization of other RADx program data elements: `cc_hypertension` (RADx-UP); `hypertension` (RADx-rad); `hbp` (RADx-Tech); `dht_hypertension` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005044,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_immunosuppressive_condition,Immunosuppressive condition,"The `nih_immunosuppressive_condition` variable records responses to the prompt, or a congruently meaning prompt, ""Immunosuppressive condition"".  Equivalent prompts are: 

- ""Immunosuppressive condition"" (RADx-rad)
- ""Immunosuppressive condition"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_immunosuppressive_condition` data element is the result of the harmonization of other RADx program data elements: `immunosuppressive_conditio` (RADx-rad); `dht_immunosuppressive_condition` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,NCIT:C178942,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_serious_mental_illness,Serious mental illness,"The `nih_serious_mental_illness` variable records responses to the prompt ""Serious mental illness"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_serious_mental_illness` data element is the result of the harmonization of other RADx program data elements: `serious_mental_illness` (RADx-rad)
",Medical History,single,MONDO:0005084,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_mental_health_disorder,Mental health disorder,"The `nih_mental_health_disorder` variable records responses to the prompt, or a congruently meaning prompt, ""Mental health disorder"".  Equivalent prompts are: 

- ""Have you ever been told by a physician, psychologist, or healthcare provider that you have any mental illness (for example depression, anxiety, bipolar, schizophrenia, or other)?"" (RADx-Tech)
- ""mental health disorder "" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_mental_health_disorder` data element is the result of the harmonization of other RADx program data elements: `mental_illness` (RADx-Tech); `dht_mental_illness` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005084,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_sickle_cell_disease,Sickle cell disease,"The `nih_sickle_cell_disease` variable records responses to the prompt, or a congruently meaning prompt, ""Sickle cell disease"".  Equivalent prompts are: 

- ""Sickle Cell Anemia"" (RADx-UP)
- ""Sickle cell disease"" (RADx-rad)
- ""Have you ever been told by a physician or healthcare provider that you have sickle cell anemia?"" (RADx-Tech)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_sickle_cell_disease` data element is the result of the harmonization of other RADx program data elements: `cc_sickle` (RADx-UP); `sickle_cell_disease` (RADx-rad); `sc_anemia` (RADx-Tech); `dht_sickle_cell_disease` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0011382,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_pregnancy,Pregnancy status,"The `nih_pregnancy` variable records responses to the prompt, or a congruently meaning prompt, ""Pregnancy status"".  Equivalent prompts are: 

- ""Are you currently pregnant?"" (RADx-UP)
- ""Pregnancy status"" (RADx-rad)
- ""Pregnancy status"" (RADx-DHT)

The values for this variable are integers that come from a list of 4 permissible integer values.

The `nih_pregnancy` data element is the result of the harmonization of other RADx program data elements: `pregnancy_status` (RADx-UP); `pregnancy_status` (RADx-rad); `dht_pregnant` (RADx-DHT)
",Medical History,single,NCIT:C69218,integer,,,"""0""=[Not Pregnant] |
""1""=[Pregnant] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
nih_immunocompromised,Immunocompromised condition,"The `nih_immunocompromised` variable records responses to the prompt, or a congruently meaning prompt, ""Immunocompromised condition"".  Equivalent prompts are: 

- ""Immunocompromised condition"" (RADx-UP)
- ""Immunocompromised"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_immunocompromised` data element is the result of the harmonization of other RADx program data elements: `cc_imm` (RADx-UP); `dht_immuno_compromised` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,NCIT:C14139,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_autoimm,Autoimmune disease,"The `nih_autoimm` variable records responses to the prompt, or a congruently meaning prompt, ""Autoimmune disease"".  Equivalent prompts are: 

- ""Autoimmune disease"" (RADx-UP)
- ""Autoimmune disease"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_autoimm` data element is the result of the harmonization of other RADx program data elements: `cc_autoimm` (RADx-UP); `dht_autoimmune` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0007179,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_copd,Chronic obstructive pulmonary disease (COPD),"The `nih_copd` variable records responses to the prompt, or a congruently meaning prompt, ""Chronic obstructive pulmonary disease (COPD)"".  Equivalent prompts are: 

- ""Chronic obstructive pulmonary disease (COPD)"" (RADx-UP)
- ""Chronic obstructive pulmonary disease (COPD)"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_copd` data element is the result of the harmonization of other RADx program data elements: `cc_copd` (RADx-UP); `dht_copd` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005002,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_chronic_lung,Other chronic lung disease,"The `nih_chronic_lung` variable records responses to the prompt ""Other chronic lung disease"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_chronic_lung` data element is the result of the harmonization of other RADx program data elements: `cc_clung` (RADx-UP)
",Medical History,single,MONDO:0005275,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_depression,Depression,"The `nih_depression` variable records responses to the prompt, or a congruently meaning prompt, ""Depression"".  Equivalent prompts are: 

- ""Depression"" (RADx-UP)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_depression` data element is the result of the harmonization of other RADx program data elements: `cc_depression` (RADx-UP); `dht_depression` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0002050,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_alc_sub_abuse,Alcohol or substance use disorder,"The `nih_alc_sub_abuse` variable records responses to the prompt, or a congruently meaning prompt, ""Alcohol or substance use disorder"".  Equivalent prompts are: 

- ""Alcohol or substance use disorder"" (RADx-UP)
- ""Alcohol or substance use disorder"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_alc_sub_abuse` data element is the result of the harmonization of other RADx program data elements: `cc_asud` (RADx-UP); `dht_alc_sub_abuse` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,"MONDO:0002494
MONDO:0021698",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_iv_drug_use,Intravenous drug use,"The `nih_iv_drug_use` variable records responses to the prompt, or a congruently meaning prompt, ""Intravenous drug use"".  Equivalent prompts are: 

- ""Intravenous drug use"" (RADx-UP)
- ""Intravenous drug use"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_iv_drug_use` data element is the result of the harmonization of other RADx program data elements: `cc_intrav` (RADx-UP); `dht_iv_drug_use` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,NCIT:C84367,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_othermh,Other mental health disorder,"The `nih_othermh` variable records responses to the prompt, or a congruently meaning prompt, ""Other mental health disorder"".  Equivalent prompts are: 

- ""Other mental health disorder"" (RADx-UP)
- ""Other mental health disorder"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_othermh` data element is the result of the harmonization of other RADx program data elements: `cc_othermh` (RADx-UP); `dht_other_mental_health_disorder` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0002025,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_other_chronic_cond,Other chronic condition,"The `nih_other_chronic_cond` variable records responses to the prompt, or a congruently meaning prompt, ""Other chronic condition"".  Equivalent prompts are: 

- ""Other chronic condition"" (RADx-UP)
- ""Other chronic condition"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_other_chronic_cond` data element is the result of the harmonization of other RADx program data elements: `cc_otherchroniccond` (RADx-UP); `dht_other_chronic_cond` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,NCIT:C165593,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_coronary_artery_disease,Coronary artery disease,"The `nih_coronary_artery_disease` variable records responses to the prompt ""Coronary artery disease"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_coronary_artery_disease` data element is the result of the harmonization of other RADx program data elements: `dht_coronary_artery_disease` (RADx-DHT)
",Medical History,single,MONDO:0005010,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_coronary_artery_disease_angina,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,"The `nih_coronary_artery_disease_angina` variable records responses to the prompt ""Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_coronary_artery_disease_angina` data element is the result of the harmonization of other RADx program data elements: `coronary_artery_disease` (RADx-Tech)
",Medical History,single,MONDO:0005010,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_heart_attack,A heart attack (myocardial infarction)?,"The `nih_heart_attack` variable records responses to the prompt, or a congruently meaning prompt, ""A heart attack (myocardial infarction)?"".  Equivalent prompts are: 

- ""A heart attack (myocardial infarction)?"" (RADx-Tech)
- ""heart attack (myocardial infarction)?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_heart_attack` data element is the result of the harmonization of other RADx program data elements: `heart_attack` (RADx-Tech); `dht_heart_attack` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005068,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_chf,"Congestive Heart failure (CHF, Heart Failure)?","The `nih_chf` variable records responses to the prompt, or a congruently meaning prompt, ""Congestive Heart failure (CHF, Heart Failure)?"".  Equivalent prompts are: 

- ""Congestive Heart failure (CHF, Heart Failure)?"" (RADx-Tech)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_chf` data element is the result of the harmonization of other RADx program data elements: `chf` (RADx-Tech); `dht_chf` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005009,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_stroke,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,"The `nih_stroke` variable records responses to the prompt, or a congruently meaning prompt, ""Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?"".  Equivalent prompts are: 

- ""Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?"" (RADx-Tech)
- ""Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_stroke` data element is the result of the harmonization of other RADx program data elements: `stroke` (RADx-Tech); `dht_stroke` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,"MONDO:0005264
MONDO:0005098",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_immunodeficiency,Immunodeficiency (NOT including HIV)?,"The `nih_immunodeficiency` variable records responses to the prompt, or a congruently meaning prompt, ""Immunodeficiency (NOT including HIV)?"".  Equivalent prompts are: 

- ""Immunodeficiency (NOT including HIV)?"" (RADx-Tech)
- ""Immunodeficiency (NOT including HIV)?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_immunodeficiency` data element is the result of the harmonization of other RADx program data elements: `immunodeficiency` (RADx-Tech); `dht_immunodeficiency` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0021094,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_hiv,Chronic HIV infection?,"The `nih_hiv` variable records responses to the prompt, or a congruently meaning prompt, ""Chronic HIV infection?"".  Equivalent prompts are: 

- ""Chronic HIV infection?"" (RADx-Tech)
- ""Chronic HIV infection?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_hiv` data element is the result of the harmonization of other RADx program data elements: `hiv` (RADx-Tech); `dht_hiv` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005109,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,"The `nih_anemia` variable records responses to the prompt, or a congruently meaning prompt, ""Anemia or other blood disorder (do not include leukemia or lymphoma)?"".  Equivalent prompts are: 

- ""Anemia or other blood disorder (do not include leukemia or lymphoma)?"" (RADx-Tech)
- ""Anemia or other blood disorder (do not include leukemia or lymphoma)?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_anemia` data element is the result of the harmonization of other RADx program data elements: `anemia` (RADx-Tech); `dht_anemia` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0002280,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_premature_birth,History of premature birth (being born before 37 weeks of pregnancy),"The `nih_premature_birth` variable records responses to the prompt ""History of premature birth (being born before 37 weeks of pregnancy)"".The values for this variable are integers that come from a list of 6 permissible integer values.

The `nih_premature_birth` data element is the result of the harmonization of other RADx program data elements: `premature` (RADx-Tech)
",Medical History,single,GSSO:009644,integer,,,"""0""=[No] |
""1""=[Yes, Between 32 - 37 Weeks] |
""2""=[Yes, Between 28-32 Weeks] |
""3""=[Yes, Less Than 28 Weeks] |
""4""=[Yes, But Not Sure How Many Weeks] |
""77""=[Dont Know]",,,,
nih_chd,Chronic Heart Disease,"The `nih_chd` variable records responses to the prompt, or a congruently meaning prompt, ""Chronic Heart Disease"".  Equivalent prompts are: 

- ""CHD"" (RADx-Tech)
- ""Chronic Heart Disease"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_chd` data element is the result of the harmonization of other RADx program data elements: `chd` (RADx-Tech); `dht_chd` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0001493,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_cf,Cystic Fibrosis,"The `nih_cf` variable records responses to the prompt ""Cystic Fibrosis"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_cf` data element is the result of the harmonization of other RADx program data elements: `cf` (RADx-Tech)
",Medical History,single,MONDO:0009061,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_cld_bpd,CLD BPD (Chronic Lung Disease Bronchopulmonary Dysplasia),"The `nih_cld_bpd` variable records responses to the prompt ""CLD BPD (Chronic Lung Disease Bronchopulmonary Dysplasia)"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_cld_bpd` data element is the result of the harmonization of other RADx program data elements: `cld_bpd` (RADx-Tech)
",Medical History,single,MONDO:0019091,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_copd_plus,"Chronic obstructive pulmonary disease (COPD) including emphysema, chronic bronchitis, obstructive pulmonary disease?","The `nih_copd_plus` variable records responses to the prompt, or a congruently meaning prompt, ""Chronic obstructive pulmonary disease (COPD) including emphysema, chronic bronchitis, obstructive pulmonary disease?"".  Equivalent prompts are: 

- ""COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?"" (RADx-Tech)
- ""Chronic obstructive pulmonary disease (COPD) including emphysema, chronic bronchitis, obstructive pulmonary disease?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_copd_plus` data element is the result of the harmonization of other RADx program data elements: `copd` (RADx-Tech); `dht_copd_opd` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0005002,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_alz,Alzheimers,"The `nih_alz` variable records responses to the prompt ""Alzheimers"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_alz` data element is the result of the harmonization of other RADx program data elements: `dht_alz` (RADx-DHT)
",Medical History,single,MONDO:0004975,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
